Index,Title,RT Critic,RT User,IMDB User,TV_0,Print_0,TV_1,Print_1,Screens_1,BO_1,TV_2,Print_2,Screens_2,BO_2,TV_3,Print_3,Screens_3,BO_3,TV_4,Print_4,Screens_4,BO_4,TV_5,Print_5,Screens_5,BO_5,TV_6,Print_6,Screens_6,BO_6,TV_7,Print_7,Screens_7,BO_7,TV_8,Print_8,Screens_8,BO_8,TV_9,Print_9,Screens_9,BO_9,TV_10,Print_10,Screens_10,BO_10,Distributor,Genre,Runtime,MPAA Rating,Production Budget
64,Catfish,0.81,0.7,7.1,0,0,0,0,12.0,362498,0,0,53.14285714,605261,0,0,125.1428571,761010,0,0,126.0,512082,0,0,96.42857143,254291,0,0,129.4285714,216225,0,0,123.2857143,142681,0,0,40.0,53955,0,0,16.28571429,25761,0,0,7.714285714,11177,Rogue Pictures,Documentary,1 hrs. 34 min.,PG-13,
65,Cedar Rapids,0.86,0.6,6.5,505100,94200,517700,469000,14.0,388575,87400,580700,89.14285714,1202490,268400,451000,122.2857143,838110,155800,298900,214.1428571,1021147,0,244600,367.57142860000005,1212565,0,142000,425.14285710000007,718349,0,59700,305.7142857,516163,0,16200,175.8571429,252725,0,8400,96.42857143,115899,0,5900,42.71428571,51736,Fox Searchlight,Comedy,1 hrs. 26 min.,R,
66,Cheri,0.51,0.4,6.1,109000,178200,26000,501300,79.71428571,563363,0,273600,115.8571429,503614,0,111300,138.71428569999998,441857,0,55100,158.0,374701,0,41200,149.4285714,235709,0,10400,77.14285714,115209,0,5800,37.57142857,40676,0,1900,22.0,24082,0,0,26.85714286,12884,0,0,4.285714286,1323,Miramax,Romance,1 hrs. 40 min.,R,23000000.0
67,Children of Men,0.93,0.81,8.0,1436100,669300,1624400,1932800,15.0,984254,5511400,2510300,471.85714289999993,9157628,540600,1973800,1173.714286,7956741,0,1518200,1302.4285710000001,5135359,24400,1002300,1184.285714,2747321,0,296300,830.7142857000001,1345242,0,148800,488.0,942200,0,114100,234.0,462750,0,118200,130.7142857,288949,0,10800,110.25,68240,Universal,Sci-Fi Thriller,1 hrs. 49 min.,R,76000000.0
68,City Island,0.81,0.76,7.5,700,214200,54900,126700,2.0,43673,45300,106200,6.0,66149,1700,188600,23.0,177545,33900,196200,39.0,244986,50500,252600,50.85714286,316998,350800,335400,70.14285714,396958,16300,412300,256.4285714,929369,15800,479100,232.8571429,780411,100,375900,228.1428571,554293,0,266500,190.8571429,499477,Anchor Bay Films,Comedy,1 hrs. 40 min.,PG-13,6000000.0
69,Cold Souls,0.74,0.49,6.5,0,21900,0,85100,6.0,90620,0,97500,17.0,98479,0,55700,41.57142857,153955,0,38900,32.71428571,114368,0,14400,40.71428571,112357,0,0,34.85714286,60773,0,8900,34.0,49133,0,3600,31.85714286,38725,0,4100,16.71428571,12432,0,0,15.42857143,9621,Samuel Goldwyn,Comedy / Drama,1 hrs. 41 min.,PG-13,
70,Control,0.87,0.88,7.7,0,21200,0,35700,1.0,45422,0,11300,1.714285714,59809,0,53400,11.0,111326,0,37100,18.0,127795,0,59500,20.42857143,102962,0,31900,21.57142857,65326,0,30600,17.85714286,32741,0,14000,15.14285714,26317,0,67200,18.42857143,28624,0,12100,20.0,5373,Weinstein Company,Music Drama,2 hrs. 1 min.,R,5968080.0
71,Control Room,0.96,0.85,7.8,0,3800,0,23800,1.0,52330,0,12000,1.0,49060,0,31200,1.285714286,47714,0,73700,30.85714286,186759,0,85500,52.28571429,348679,0,43100,48.14285714,201520,0,44100,39.42857143,211958,0,31800,33.14285714,169287,0,18900,33.14285714,149766,0,5300,34.14285714,105726,Magnolia,Documentary,1 hrs. 23 min.,Unrated,60000.0
72,Conviction,0.68,0.7,7.2,111600,255600,691100,575100,10.71428571,128814,1181400,783400,55.57142857,384529,440600,1167900,497.57142860000005,2198752,0,639000,569.4285714,1846868,0,258800,409.7142857,636753,0,0,117.57142859999999,164537,0,0,50.71428571,57991,0,0,64.71428571,51797,0,16100,47.71428571,28739,0,0,15.42857143,8488,Fox Searchlight,Drama,1 hrs. 47 min.,R,12500000.0
73,Country Strong,0.22,0.53,5.9,2273400,62300,2936800,193500,2.0,60727,3170000,161900,2.0,68703,1754200,900500,954.8571429,7782376,165000,828900,1342.857143,5339761,0,360300,1317.285714,2581806,0,21100,1127.5714289999999,1497168,0,0,827.8571429,749528,200,0,375.57142860000005,246457,0,0,126.57142859999999,69028,0,0,85.5,6697,Sony / Screen Gems,Music Drama,1 hrs. 52 min.,PG-13,15000000.0
74,Crazy Heart,0.91,0.73,7.4,45300,210200,80200,485100,4.0,130367,113300,823600,9.714285713999999,261041,49900,750500,12.0,344073,130600,783500,27.14285714,591375,171400,951100,41.57142857,987763,265900,897700,70.0,1534914,657900,883500,172.5714286,2574171,474600,1097400,588.7142857000001,4246738,316000,1328700,853.2857142999999,5432740,42100,980200,899.5,604837,Fox Searchlight,Drama,1 hrs. 51 min.,R,7000000.0
